交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/6/4,TXO,201906,9000,賣權,3.3,3.5,2.9,3.2,96,3.1,8093,1,3.1,431,1.2,,一般
2019/6/4,TXO,201906,9000,賣權,3.2,3.2,3.2,3.2,20,-,-,2.5,4.9,431,1.2,,盤後
2019/6/4,TXO,201906,9100,買權,-,-,-,-,0,1320,22,-,-,-,-,,一般
2019/6/4,TXO,201906,9100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9100,賣權,3.8,4,3.3,3.7,75,3.4,1440,3.2,3.6,29,3,,一般
2019/6/4,TXO,201906,9100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9200,買權,-,-,-,-,0,1220,287,-,-,-,-,,一般
2019/6/4,TXO,201906,9200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9200,賣權,4,4.7,3.8,4.2,346,4.2,5117,3.5,4.3,470,3.6,,一般
2019/6/4,TXO,201906,9200,賣權,4.8,4.8,4.2,4.2,26,-,-,3,4.6,470,3.6,,盤後
2019/6/4,TXO,201906,9300,買權,-,-,-,-,0,1120,17,-,-,-,-,,一般
2019/6/4,TXO,201906,9300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9300,賣權,4.6,5.3,4.5,5,1068,5,5187,2,5.3,33,4.1,,一般
2019/6/4,TXO,201906,9300,賣權,5.2,5.3,4.8,4.8,50,-,-,2.2,7.8,33,4.1,,盤後
2019/6/4,TXO,201906,9400,買權,-,-,-,-,0,1020,100,-,-,-,-,,一般
2019/6/4,TXO,201906,9400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9400,賣權,5.9,6.7,5.3,5.9,512,5.9,6325,3,7,580,5.3,,一般
2019/6/4,TXO,201906,9400,賣權,6.4,9.5,5.9,9.5,119,-,-,4.1,8.7,580,5.3,,盤後
2019/6/4,TXO,201906,9500,買權,-,-,-,-,0,925,59,-,-,-,-,,一般
2019/6/4,TXO,201906,9500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9500,賣權,7.2,8.3,6.4,7.1,584,7.1,4677,6.7,7.8,48,3,,一般
2019/6/4,TXO,201906,9500,賣權,7.6,10.5,6.7,9.4,153,-,-,6.9,9,48,3,,盤後
2019/6/4,TXO,201906,9600,買權,870,870,820,825,7,825,213,820,835,1420,304,,一般
2019/6/4,TXO,201906,9600,買權,865,900,865,885,4,-,-,555,-,1420,304,,盤後
2019/6/4,TXO,201906,9600,賣權,8.6,10.5,7.8,8.7,999,8.7,6648,8.6,9,680,5.1,,一般
2019/6/4,TXO,201906,9600,賣權,9.4,11,5.1,8.2,153,-,-,8.2,11,680,5.1,,盤後
2019/6/4,TXO,201906,9700,買權,720,720,720,720,2,725,80,720,735,890,585,,一般
2019/6/4,TXO,201906,9700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9700,賣權,11,13,10,11,1107,11,8631,11,12,76,8.4,,一般
2019/6/4,TXO,201906,9700,賣權,11.5,12,10,11,98,-,-,10.5,11,76,8.4,,盤後
2019/6/4,TXO,201906,9800,買權,625,625,625,625,2,625,346,620,645,1250,220,,一般
2019/6/4,TXO,201906,9800,買權,700,700,680,680,4,-,-,368,-,1250,220,,盤後
2019/6/4,TXO,201906,9800,賣權,13,17.5,13,15,1854,15,15167,14.5,15.5,790,9.3,,一般
2019/6/4,TXO,201906,9800,賣權,15,16,12.5,15.5,225,-,-,12.5,15.5,790,9.3,,盤後
2019/6/4,TXO,201906,9900,買權,535,535,530,530,8,530,219,530,550,1090,389,,一般
2019/6/4,TXO,201906,9900,買權,590,610,570,575,20,-,-,286,-,1090,389,,盤後
2019/6/4,TXO,201906,9900,賣權,20,23.5,17,20,1776,20,11546,19.5,20,108,10.5,,一般
2019/6/4,TXO,201906,9900,賣權,19.5,22,15.5,19.5,610,-,-,20,21.5,108,10.5,,盤後
2019/6/4,TXO,201906,10000,買權,489,490,439,439,32,439,879,443,446,1140,160,,一般
2019/6/4,TXO,201906,10000,買權,500,520,473,473,34,-,-,212,540,1140,160,,盤後
2019/6/4,TXO,201906,10000,賣權,25,32,23.5,27.5,4434,27.5,16196,27.5,28,925,13,,一般
2019/6/4,TXO,201906,10000,賣權,26,28,20.5,25,1703,-,-,26,26.5,925,13,,盤後
2019/6/4,TXO,201906,10100,買權,400,400,349,350,79,350,1340,354,357,815,228,,一般
2019/6/4,TXO,201906,10100,買權,410,427,388,390,54,-,-,361,417,815,228,,盤後
2019/6/4,TXO,201906,10100,賣權,36,44.5,31.5,38.5,5428,38.5,16336,38,39,153,15.5,,一般
2019/6/4,TXO,201906,10100,賣權,40,40,29.5,35,1467,-,-,35,37.5,153,15.5,,盤後
2019/6/4,TXO,201906,10200,買權,315,325,265,271,488,271,1669,271,273,930,118,,一般
2019/6/4,TXO,201906,10200,買權,317,340,291,291,123,-,-,295,324,930,118,,盤後
